sid,R_Squared,F_Value,F_P_value,Last Resid
600776,0.935897170300309,1163.1281840425627,3.1627221592856493e-142,-0.17319733998605535
600336,0.9352282283027927,1150.2929990823193,1.0931554178598045e-141,1.1265663209223415
002152,0.9347065738250212,1140.4663748001603,2.850111144594908e-141,-0.7116956795947704
600893,0.9341951237290089,1126.2510827307694,2.816116717294181e-140,13.06122774229248
600531,0.9341132672114765,1129.4791400069248,8.398129440561885e-141,0.4713667191121971
000519,0.9330279319302885,1109.8839768007158,5.9138870901944185e-140,-0.19105576661723944
601519,0.9329768692639306,1108.977698222618,6.477625011708353e-140,-0.12690735974635103
600166,0.9328345539071655,1106.459106346934,8.345753442407942e-140,0.07411282627330573
001696,0.932383562181667,1098.5478213652132,1.8564119345095398e-139,-0.12663249373084007
600532,0.9322671290990076,1096.5224658317668,2.2800136329393506e-139,-1.9282267089600875
000591,0.9317089972084192,1086.909652468718,6.077252674248285e-139,0.1999847567788482
002151,0.9316128771953729,1085.269996837422,7.189203186743387e-139,7.770636610033897
000625,0.9313937394632681,1081.54903060943,1.0535746742191408e-138,0.11073083676539675
601179,0.9311629811930022,1077.656355848771,1.5735461676755182e-138,-0.21918321884863623
002176,0.9306613173526959,326.601129282671,3.299579650893281e-42,-0.1734072342628521
000088,0.9304246893284012,1038.629702217114,1.6501225157759283e-134,-0.08937852884478836
002429,0.9298144152389237,1055.4192193862252,1.5975664321934478e-137,-0.04528275536506676
600415,0.9296463599872233,1052.7078153387945,2.1258795310170111e-137,-0.36975982297493637
000933,0.9286795528672948,1037.357551064774,1.0855483775695924e-136,0.958428892975312
600151,0.92855243350425,1035.370143878946,1.3428859090046027e-136,0.6191464930377801
600827,0.9283693556073565,1032.5202659256702,1.82310208984505e-136,-0.17641314773785055
000333,0.9274914672195443,1019.0545956692391,7.81255972151777e-136,6.246609180020982
000750,0.9268914728682617,988.9070088014142,1.431711682381139e-132,0.08200468448501042
002646,0.9267613085404888,1008.1008108654657,2.5859684395146233e-135,4.865995450595328
603085,0.9266047863784082,1005.7810449158477,3.337204364320214e-135,0.14957228882595963
002022,0.9256492950262041,991.8318039227421,1.564711686311102e-134,-2.587034672808551
601881,0.9237847292831332,965.6181682140152,3.0161341340456836e-133,0.013895146516039958
002389,0.9226553220299872,950.3546451752959,1.74825932532705e-132,-0.9777324232456692
002626,0.9224713685102403,947.9106958615155,2.321929317328227e-132,-0.7940183775038463
002425,0.9215085081008301,935.3053352543362,1.014378252935471e-131,-1.089139407057596
600375,0.9214854479444725,927.1829040829164,1.3325310989631882e-130,-0.01699247462663145
600584,0.9206172761350251,923.9102174192798,3.9079549928903124e-131,0.06723971270022844
002498,0.9197263589828044,912.7720175285732,1.4823594990749674e-130,-0.18432229978531378
002497,0.9189027669331061,902.6931951174315,5.017798438639769e-130,5.236983690734352
601099,0.9180333758707965,892.2736506640621,1.7935580022635986e-129,-0.027397202665928155
600111,0.9173815508891086,884.6054483876497,4.619993301406315e-129,0.21975397873491787
000006,0.9172858284165455,883.4895270248445,5.305346968559014e-129,0.5269111645798077
000686,0.9163127813197353,872.2907280585781,2.1451170727535947e-128,-0.7254865164926105
600006,0.9159978878413266,868.7221847491478,3.3596196021360854e-128,1.181472418294204
000503,0.9138794835649906,845.3935856924433,6.581941205028216e-127,0.16494334804102806
600059,0.9104440643581507,809.9077216270183,7.040114737637465e-125,1.2673297034063236
600926,0.9103751121124408,809.2233341399636,7.718027066491934e-125,-0.06102479616348866
002149,0.9102145511112691,807.6337550909366,9.557837050267036e-125,0.8843415804387753
000166,0.9101120274157418,806.6217251645049,1.0953749008148424e-124,-0.17682157356016237
002709,0.9098547916795461,804.0926384698034,1.5410219548866731e-124,6.026812322548906
002145,0.9097492759877022,803.0594005038417,1.7721300766671602e-124,-0.24463688022962504
002025,0.9096750407680371,802.333915941682,1.9550103122850743e-124,14.63956849007689
002294,0.9088489243260098,794.3402068408006,5.800419681013437e-124,-2.060361428579238
600779,0.9085444487836245,791.4304467079232,8.638851461078476e-124,-2.2259408184873024
002493,0.9076151790017822,782.668355535774,2.89005793557369e-123,1.5304619172162326
600363,0.9060025077807224,767.873674950321,2.2837235651980666e-122,1.6360012196414218
600838,0.9059162379043746,767.0965248997444,2.5481957977495927e-122,-0.4942612215684594
601633,0.9050767921801669,759.6082429832076,7.362617000206495e-122,12.044724368975423
600303,0.9046467562496219,755.8231765024158,1.26332839739202e-121,0.08083036396553211
600621,0.9046020044856455,755.4312432750502,1.3361557190847867e-121,0.30384445630276957
000516,0.9044210353924362,753.8500699266713,1.6756030465596956e-121,1.4671647944253579
600594,0.9038832955042787,749.1868305962684,3.2749973248675272e-121,-0.5581882171386576
600435,0.9038388897067946,748.8040781464342,3.460762063976379e-121,-0.44402999026754486
000768,0.9037866309346774,748.3540901221135,3.6927994360552305e-121,-0.6337794704472017
601878,0.9033816186368738,744.8831295801889,6.099122070001547e-121,-0.8661305539640018
002601,0.9033183358888026,744.3434225167272,6.595279572524914e-121,-4.57142016406052
002610,0.9026023126441851,738.2856772696637,1.5922222578035876e-120,0.5708889989509744
