day,open,high,low,close,volume
2019-01-28,3.15,3.16,3.08,3.1,13172583
2019-01-29,3.1,3.1,2.97,3.04,12958264
2019-01-30,3.02,3.06,2.99,3.02,7429350
2019-01-31,3.03,3.05,2.98,3.0,10451050
2019-02-01,3.01,3.1,3.01,3.09,9839535
2019-02-11,3.08,3.17,3.07,3.17,14816781
2019-02-12,3.17,3.32,3.17,3.27,33420937
2019-02-13,3.26,3.31,3.24,3.3,27458338
2019-02-14,3.28,3.34,3.25,3.31,21070123
2019-02-15,3.31,3.44,3.3,3.31,34288969
2019-02-18,3.32,3.46,3.32,3.43,41989238
2019-02-19,3.45,3.55,3.37,3.46,52602662
2019-02-20,3.48,3.49,3.39,3.42,26545379
2019-02-21,3.43,3.53,3.39,3.51,57421937
2019-02-22,3.46,3.51,3.41,3.48,53775850
2019-02-25,3.5,3.69,3.5,3.68,67726530
2019-02-26,3.72,3.86,3.62,3.73,80255844
2019-02-27,3.72,3.81,3.65,3.68,56077212
2019-02-28,3.71,4.05,3.7,4.05,138753120
2019-03-01,4.09,4.25,4.0,4.12,133684148
2019-03-04,4.1,4.48,4.03,4.31,130192789
2019-03-05,4.29,4.74,4.21,4.74,140188149
2019-03-06,5.06,5.18,4.73,4.98,195381072
2019-03-07,4.88,4.96,4.77,4.9,119466564
2019-03-08,4.73,4.84,4.42,4.49,102838682
2019-03-11,4.55,4.69,4.5,4.69,61068836
2019-03-12,4.8,4.85,4.55,4.7,73017201
2019-03-13,4.79,4.79,4.49,4.52,53656900
2019-03-14,4.46,4.52,4.18,4.31,54893983
2019-03-15,4.35,4.46,4.3,4.4,44593349
2019-03-18,4.43,4.6,4.34,4.59,51132365
2019-03-19,4.58,4.63,4.48,4.53,38376967
2019-03-20,4.53,4.53,4.38,4.48,34360827
2019-03-21,4.44,4.67,4.44,4.61,62426207
2019-03-22,4.58,4.59,4.43,4.56,44408524
2019-03-25,4.45,4.56,4.41,4.46,35279935
2019-03-26,4.49,4.51,4.21,4.25,44816133
2019-03-27,4.28,4.38,4.25,4.35,30188732
2019-03-28,4.32,4.35,4.22,4.25,25997146
2019-03-29,4.25,4.42,4.22,4.41,38034878
2019-04-01,4.43,4.58,4.43,4.58,52987091
2019-04-02,4.58,4.66,4.49,4.52,43504655
2019-04-03,4.52,4.58,4.49,4.57,39097057
2019-04-04,4.57,4.61,4.51,4.57,37910854
2019-04-08,4.57,4.73,4.5,4.68,66034847
2019-04-09,4.68,4.68,4.53,4.61,32702339
2019-04-10,4.76,5.07,4.71,5.07,153335061
2019-04-11,5.17,5.55,5.1,5.23,243427391
2019-04-12,4.81,4.98,4.71,4.78,128145946
2019-04-15,4.83,4.86,4.6,4.6,75012505
2019-04-16,4.58,4.65,4.45,4.64,57560029
2019-04-17,4.65,4.67,4.57,4.62,48676266
2019-04-18,4.62,4.62,4.51,4.53,38407245
2019-04-19,4.54,4.64,4.53,4.59,31762581
2019-04-22,4.62,4.64,4.5,4.51,32784490
2019-04-23,4.51,4.55,4.42,4.49,29449175
2019-04-24,4.47,4.51,4.4,4.49,24117939
2019-04-25,4.48,4.49,4.3,4.3,29036803
2019-04-26,4.31,4.35,4.27,4.28,21086801
2019-04-29,4.26,4.28,3.92,4.01,36371876
2019-04-30,4.01,4.19,4.0,4.16,21891225
2019-05-06,4.11,4.11,3.77,3.82,32485650
2019-05-07,3.86,4.05,3.85,3.97,26627759
2019-05-08,3.9,4.19,3.83,4.1,36291287
2019-05-09,4.05,4.17,3.99,3.99,23177100
2019-05-10,4.01,4.14,3.93,4.1,23045021
2019-05-13,4.07,4.12,4.03,4.11,18377679
2019-05-14,4.05,4.11,4.04,4.08,15155725
2019-05-15,4.09,4.15,4.08,4.14,14827095
2019-05-16,4.12,4.24,4.11,4.23,25907437
2019-05-17,4.19,4.22,4.08,4.12,27274559
2019-05-20,4.13,4.14,4.01,4.08,13716016
2019-05-21,4.06,4.15,4.05,4.12,12624123
2019-05-22,4.12,4.13,4.05,4.06,9659558
2019-05-23,4.06,4.07,3.97,4.0,11744885
2019-05-24,3.99,4.03,3.96,3.98,9010277
2019-05-27,4.0,4.11,3.97,4.1,13496715
2019-05-28,4.09,4.1,4.02,4.05,15271200
