day,Unnamed: 0,open,high,low,close,volume
2021-10-13,174,9.0,9.02,8.22,8.52,56730645
2021-10-14,175,8.36,8.54,8.25,8.41,32393889
2021-10-15,176,8.41,8.5,8.26,8.41,26885757
2021-10-18,177,8.41,8.64,8.41,8.59,27834892
2021-10-19,178,8.52,8.72,8.45,8.58,31644973
2021-10-20,179,8.53,8.85,8.49,8.85,43805868
2021-10-21,180,8.79,8.79,8.44,8.49,41234958
2021-10-22,181,8.46,8.59,8.3,8.34,27495913
2021-10-25,182,8.44,8.59,8.31,8.46,23961145
2021-10-26,183,8.4,8.53,8.3,8.35,26047117
2021-10-27,184,8.35,8.5,8.27,8.39,25551281
2021-10-28,185,8.33,8.55,8.16,8.21,26832557
2021-10-29,186,8.21,8.23,7.91,8.18,28303194
2021-11-01,187,8.23,8.55,8.1,8.35,31738767
2021-11-02,188,8.39,8.39,8.01,8.13,27290897
2021-11-03,189,8.13,8.19,8.06,8.12,12600671
2021-11-04,190,8.12,8.34,8.1,8.26,26178173
2021-11-05,191,8.2,8.23,8.1,8.1,18019846
2021-11-08,192,8.12,8.23,7.99,8.11,16460346
2021-11-09,193,8.22,8.45,8.15,8.21,25905539
2021-11-10,194,8.18,8.19,8.07,8.12,17505504
2021-11-11,195,8.12,8.19,8.08,8.14,16359442
2021-11-12,196,8.17,8.24,8.12,8.23,23028476
2021-11-15,197,8.25,8.35,8.2,8.26,21241157
2021-11-16,198,8.26,8.3,8.13,8.21,21262038
2021-11-17,199,8.2,8.24,8.14,8.18,17180177
2021-11-18,200,8.22,8.35,8.1,8.2,22285845
2021-11-19,201,8.21,8.22,8.13,8.18,15425441
