,day,open,high,low,close,volume
84,2021-05-28,11.260,11.400,11.000,11.060,80427584
85,2021-05-31,10.950,12.000,10.900,11.700,176302256
86,2021-06-01,11.470,11.690,11.170,11.330,116954129
87,2021-06-02,11.220,11.500,11.020,11.200,92656931
88,2021-06-03,11.100,11.140,10.940,10.970,69818263
89,2021-06-04,10.900,10.910,10.520,10.550,71259046
90,2021-06-07,10.550,10.740,10.400,10.570,40875759
91,2021-06-08,10.570,10.670,10.400,10.440,42994436
92,2021-06-09,10.400,10.400,10.160,10.200,43712985
93,2021-06-10,10.200,10.290,10.120,10.170,36905777
94,2021-06-11,10.160,10.630,10.150,10.470,67097447
95,2021-06-15,10.500,10.550,10.070,10.150,45533448
96,2021-06-16,10.100,10.150,9.450,9.630,60085985
97,2021-06-17,9.630,10.200,9.540,9.950,46594184
98,2021-06-18,9.950,10.080,9.720,10.050,36224050
99,2021-06-21,10.000,10.360,9.950,10.210,44976705
100,2021-06-22,10.220,10.900,9.980,10.620,97767233
101,2021-06-23,10.700,10.740,10.330,10.470,71082957
102,2021-06-24,10.780,10.780,10.350,10.440,55524214
103,2021-06-25,10.300,10.320,10.030,10.150,55535991
104,2021-06-28,10.160,10.560,10.100,10.300,49310134
105,2021-06-29,10.120,10.150,10.010,10.010,39654511
106,2021-06-30,10.010,10.160,9.730,9.940,40748292
107,2021-07-01,9.960,9.990,9.680,9.680,31505601
108,2021-07-02,9.660,9.800,9.550,9.650,23040669
109,2021-07-05,9.650,9.780,9.560,9.710,18334214
110,2021-07-06,9.710,10.090,9.680,9.960,43277237
111,2021-07-07,9.860,9.900,9.700,9.800,32236380
112,2021-07-08,9.920,10.050,9.800,9.820,33313054
113,2021-07-09,9.730,9.900,9.550,9.750,33009285
114,2021-07-12,9.710,9.820,9.670,9.700,31665106
115,2021-07-13,9.680,10.500,9.500,10.240,113271037
116,2021-07-14,10.290,10.630,10.010,10.120,105362339
117,2021-07-15,9.990,9.990,9.650,9.810,56060476
118,2021-07-16,9.860,9.990,9.750,9.770,36498710
119,2021-07-19,9.700,9.710,9.550,9.590,30985016
120,2021-07-20,9.550,9.650,9.510,9.610,21344334
121,2021-07-21,9.550,9.640,9.550,9.570,24908825
122,2021-07-22,9.570,9.630,9.460,9.490,29049739
123,2021-07-23,9.480,9.480,9.110,9.140,46016477
124,2021-07-26,9.050,9.210,8.500,8.950,37944729
125,2021-07-27,8.940,9.020,8.620,8.650,33678881
