日期,收盘价,成交量,lev,pred,resid,resid_norm
2018-04-03,6059.7089,71749883.0,2578.91263193,5673.73903979638,385.96986020361965,0.06369445571941908
2018-04-02,6121.9642,85433833.0,2578.04100882,5672.387422422977,449.5767775770237,0.07343668843686209
2018-03-30,6114.7382,73046489.0,2570.28845315,5660.365610688492,454.3725893115079,0.07430777483024668
2018-03-29,6034.8572,68813735.0,2576.91329031,5670.638680434683,364.21851956531737,0.06035246692586485
2018-03-28,5973.3414,75299094.0,2570.87453164,5661.274436831551,312.06696316844955,0.05224328265724935
2018-03-27,6034.775,89199271.0,2569.70691578,5659.4638264155,375.31117358449956,0.06219141120994562
2018-03-26,5902.9588,84772913.0,2568.99656618,5658.362294285919,244.5965057140811,0.041436254936097656
2018-03-23,5787.1523,121367061.0,2565.79048824,5653.390660796086,133.76163920391355,0.02311355089167319
2018-03-22,6101.2276,67407441.0,2602.3579654,5710.095487531318,391.13211246868195,0.06410711714289792
2018-03-21,6129.2042,79487161.0,2595.6029998,5699.620628894654,429.583571105346,0.07008798484888887
2018-03-20,6173.6984,67475662.0,2591.14905502,5692.713940584352,480.9844594156484,0.07790864215453874
2018-03-19,6153.8339,67233214.0,2589.1744832,5689.651991507596,464.18190849240364,0.07542971032942629
2018-03-16,6146.3058,65073534.0,2585.90200288,5684.577388500992,461.72841149900796,0.07512291554042234
2018-03-15,6180.1108,72173921.0,2597.55837943,5702.652816831372,477.45798316862874,0.07725718819938127
2018-03-14,6189.316999999999,75466633.0,2593.69599471,5696.663454880747,492.65354511925216,0.07959740066945226
2018-03-13,6254.1457,84804758.0,2585.27816673,5683.610011926388,570.5356880736117,0.09122519932236496
2018-03-12,6295.7776,97662276.0,2583.54934374,5680.929143140312,614.8484568596887,0.09766044735438059
2018-03-09,6206.9754,85928341.0,2572.94066877,5664.4783753328375,542.4970246671628,0.08740118813217188
2018-03-08,6131.5142,67889911.0,2575.60822949,5668.614935472644,462.8992645273556,0.07549509785484239
2018-03-07,6086.4874,74594129.0,2571.81722067,5662.736255427279,423.7511445727214,0.069621625204173
2018-03-06,6145.5768,83495767.0,2569.53087739,5659.190845417657,486.3859545823425,0.07914406904529164
2018-03-05,6064.0983,67324693.0,2570.18748852,5660.209045830997,403.8892541690029,0.06660334878954764
2018-03-02,6056.3354,73434829.0,2566.84602283,5655.027467890464,401.3079321095356,0.06626250126595294
2018-03-01,6090.2247,73101773.0,2566.95370846,5655.194454936476,435.0302450635236,0.07143090222328309
2018-02-28,6023.677,70986917.0,2556.98265169,5639.732435392822,383.9445646071781,0.06373923512286235
2018-02-27,6010.5573,77022158.0,2553.38039253,5634.146447586514,376.4108524134863,0.06262495033754795
2018-02-26,6029.6795,83073987.0,2553.07864656,5633.678533082267,396.0009669177334,0.06567529284396184
2018-02-23,5897.6765,62147850.0,2541.2184825,5615.28709346692,282.38940653307964,0.047881467647993184
2018-02-22,5875.7272,59636107.0,2538.11235208,5610.470447612122,265.2567523878779,0.04514449758455054
2018-02-14,5754.8344,41398222.0,2526.65628482,5592.705636925208,162.128763074792,0.028172620062671485
2018-02-13,5736.9505,57208634.0,2560.49275724,5645.175521503583,91.77497849641713,0.015997171057414064
2018-02-12,5699.0979,57246494.0,2582.79507838,5679.759511274158,19.33838872584147,0.0033932368008350003
2018-02-09,5554.8974,84318842.0,2600.90054332,5707.835477463768,-152.93807746376842,-0.02753211561815137
2018-02-08,5766.4797,62444797.0,2639.08117526,5767.041807430867,-0.5621074308673997,-9.747843747154779e-05
2018-02-07,5711.3322,85235997.0,2649.10872001,5782.591422328844,-71.25922232884386,-0.01247681273536214
2018-02-06,5704.2641,92340709.0,2666.37458137,5809.3654235149115,-105.1013235149112,-0.018425045136832144
2018-02-05,5998.2236,74046519.0,2699.90025133,5861.35334977918,136.8702502208207,0.022818464156758127
2018-02-02,6004.8494,83747561.0,2707.28493031,5872.804698753131,132.0447012468694,0.02198967741753347
2018-02-01,5984.7428,94968524.0,2721.94638442,5895.54007126342,89.20272873657996,0.014905022942102032
2018-01-31,6189.3413,80733495.0,2738.45687203,5921.142721813876,268.198578186124,0.04333232975633837
2018-01-30,6313.441999999999,70699688.0,2744.94444562,5931.202938293765,382.23906170623377,0.06054368784986602
