sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate
600039,0.7825170078936479,31.183192776266466,9.102675173966877e-09,-0.388795806169723,9.108795806169724,-0.04268355712907487,-1.2979170622300642,"const      -1.357069e+01
vol_sum     8.203144e-09
lev_buy    -5.485807e-09
lev_sell   -5.720610e-07
dtype: float64",False,False,False,True,False,False,False,False,False,False,5761881.104001563,5383915.632944441,14553905.197825005,1,0.12016422553612216,0.09083252776410125,0.5609367165732791,1
600048,0.8109173324584371,37.16866440492201,1.500297113467405e-09,-0.34655253822337784,17.85655253822338,-0.01940758371368462,-0.6977141712107546,"const      -8.346482e+00
vol_sum     3.618516e-09
lev_buy    -1.493012e-10
lev_sell   -7.283053e-08
dtype: float64",False,False,False,False,False,False,False,False,True,True,18661522.738963246,9612561.008325547,36589976.0994094,1,0.24383249187262557,0.19256949408638063,0.773259335540147,1
600050,0.658565866315917,16.716462351961642,2.963259313680317e-06,-0.017316258778299787,3.4973162587782998,-0.004951299081069891,-0.5044035213111602,"const      -2.538592e+00
vol_sum     3.328060e-10
lev_buy     5.989063e-10
lev_sell   -1.492911e-08
dtype: float64",True,False,False,False,False,False,False,False,False,False,12961696.454962514,3991062.6153786546,15186614.447765825,1,0.012642926762163786,0.01224744871392015,0.02774887385102549,1
600053,0.8917786430733836,71.41610916235409,1.108434888818387e-12,0.08723312908757563,13.582766870912424,0.006422338682289092,0.16665475103759908,"const       8.669759e+00
vol_sum     1.638928e-07
lev_buy     3.224567e-08
lev_sell    3.417688e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,647849.1502122672,479884.3682399729,438471.47796715214,3,0.31889375708216355,0.2771441457828981,0.3137196200432465,2
600055,0.9739125768068391,323.54961251489436,1.0713282132639544e-20,-0.3573396905433448,22.907339690543346,-0.015599353542168954,-1.0130561904988704,"const      -2.122303e+01
vol_sum     4.829360e-08
lev_buy     1.122693e-08
lev_sell    4.005712e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,1145339.9947773986,946084.0806161917,1386890.1652567196,1,0.3526155647784502,0.33319941958833826,0.6703357367766769,1
600056,0.8669877554947751,56.49024199918349,1.5980891975419976e-11,-0.10512416397806135,22.025124163978063,-0.0047729203792635675,-0.047406088965105085,"const      -1.730228e+01
vol_sum     1.182700e-08
lev_buy     2.221198e-09
lev_sell    8.709489e-06
dtype: float64",False,False,False,True,False,False,False,False,False,False,18990006.475125454,9503522.36421924,33646350.74015316,1,1.4260002424235685,1.2397878298171823,1.8887879711603315,1
600057,0.8989786238405446,77.12375706490994,4.5459289730245966e-13,-0.1317144652362341,8.841714465236235,-0.014896937212133202,-0.9595357149328143,"const       1.498716e+00
vol_sum     4.065011e-09
lev_buy    -9.880412e-09
lev_sell   -2.239239e-06
dtype: float64",False,False,False,False,False,False,False,False,True,False,2628439.5768718403,1637763.284172589,2529970.5759865684,2,0.09482135771506192,0.08871280616090486,0.21220273325289885,1
600058,0.7713287950043842,29.233455768218963,1.7359677584787465e-08,-0.4336226850305991,8.6436226850306,-0.05016677622700556,-2.3594937636343114,"const      -6.415763e+00
vol_sum     1.879684e-08
lev_buy    -5.880378e-12
lev_sell   -1.592453e-05
dtype: float64",False,True,False,True,False,False,False,False,False,False,1439276.6701186853,1077521.5451809983,2039997.630105927,1,0.06988540642117165,0.025884358211081943,0.2831607317408254,1
600059,0.7544665191954463,26.63062410715408,4.3337883899077596e-08,0.12919986608784484,10.300800133912155,0.012542701965694372,0.7741066036345923,"const      -2.012195e+01
vol_sum     1.519557e-08
lev_buy     2.413663e-08
lev_sell    8.076403e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,691643.1384471175,554058.7280178708,9287010.295271762,1,0.07476522583108877,0.06698460577036272,0.2647640458974828,1
600060,0.7091355820045584,21.12957560454331,3.812569816321125e-07,-0.2502385476246296,10.74023854762463,-0.023299161048892507,-1.5945985555515758,"const      -1.503442e+01
vol_sum     2.497292e-08
lev_buy     9.200885e-09
lev_sell   -2.226983e-07
dtype: float64",False,False,False,False,False,True,False,False,False,False,996898.664188781,687276.1397831298,2391389.421900414,1,0.08662792121514651,0.07132969902136142,0.18157643018851535,1
