sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate
601949,0.24895630153886295,106.40522376756249,1.2261152974772465e-40,-0.8701571104697692,5.930157110469769,-0.1467342423244564,-39.75453887039907,"const       5.312649e+00
lev_buy     2.855503e-09
lev_sell    9.692957e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,1038941.637497639,811513.2606314011,1442951.184819951,1,0.0352856419217753,0.02851717289197966,0.06418722614352587,1
601952,0.5626289089417587,412.9305376204091,5.162662970568213e-116,2.3166352076576704,12.94336479234233,0.17898245508990515,10.29994251324187,"const       6.011179e+00
lev_buy     1.359855e-08
lev_sell    3.587440e-06
dtype: float64",False,False,False,False,False,False,False,False,True,False,6773385.336256114,3438411.7196661644,6863435.875121348,1,0.2321880511676178,0.12053199975325654,0.35899860723965316,1
601958,0.47428351207442554,513.332422643273,1.2813247378062602e-159,0.24817247712063217,7.1418275228793675,0.03474915577638825,13.469589566161767,"const       4.453467e+00
lev_buy     4.955615e-09
lev_sell   -2.701193e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,3361778.1809855765,2191551.7563531627,9804086.676594315,1,0.054722302526605274,0.04415848119866257,0.14404860290887744,1
601965,0.7975525396544001,1264.5965762772132,2.1196243462864503e-223,0.5928695552459029,12.057130444754097,0.04917169619773441,0.8902514073587113,"const       5.195957e+00
lev_buy     6.921156e-08
lev_sell    2.261547e-05
dtype: float64",False,False,False,True,False,False,False,False,False,False,458918.57461160875,275346.82253407245,943567.6998551827,1,0.2037701075779129,0.13378660199307674,0.29634439424429876,1
601966,0.29889978796783057,135.99914923055667,6.365776798801642e-50,-14.397980511420336,34.327980511420336,-0.4194240469995132,-3.524864428588865,"const       2.242417e+01
lev_buy     4.071566e-08
lev_sell    3.213196e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,2089224.5423477944,1470819.5155582863,1529220.0952540133,2,0.262074425134199,0.1527154786338704,0.21393924371180673,2
601969,0.7553598569585138,975.6931623376814,5.953332681981645e-194,-3.684200495304804,12.524200495304804,-0.29416652158243345,-5.274908035347493,"const       5.085659e+00
lev_buy     1.645730e-08
lev_sell   -1.427219e-06
dtype: float64",False,False,False,False,True,False,False,False,True,False,2083225.8838320323,1364635.6040689005,9804003.375001354,1,0.11794572540793627,0.08484393421532692,0.2492388412747651,1
601975,0.4920302980417932,310.9274530794954,3.7491845404107344e-95,-0.3924977815203199,2.32249778152032,-0.1689981297908447,-82.72289544193931,"const       2.490183e+00
lev_buy     1.250438e-09
lev_sell   -8.904559e-08
dtype: float64",True,False,False,False,False,False,False,False,False,False,11140746.69923335,6844082.630358617,24604282.00572437,1,0.01579115499478911,0.01224744871391268,0.02683281572999709,1
601985,0.30519684965423133,239.83408801224232,4.5345197767710975e-87,0.7135101327160669,6.926489867283933,0.10301179188700002,21.13000626882903,"const       3.841525e+00
lev_buy     2.249602e-09
lev_sell   -1.691751e-08
dtype: float64",False,False,True,False,False,False,True,False,False,True,23359597.971923776,14864548.231512161,37847226.01779623,1,0.06612863822431095,0.05482317353383655,0.1606860292620355,1
601988,0.6712450879037317,1114.811686488555,1.630229725266555e-264,0.2633949052565052,2.9666050947434948,0.08878664225420925,79.32596563033617,"const       2.996875e+00
lev_buy     2.945249e-10
lev_sell   -1.612137e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,33752984.95971305,29225213.35275647,38999246.67757529,1,0.008655436087658702,0.008366600265329153,0.027018512172208874,1
601989,0.6028659507451276,813.6702209384376,1.0722558887326182e-215,-0.24579140964921553,4.125791409649215,-0.05957436652623049,-15.038133967066928,"const       5.654176e-01
lev_buy     1.543786e-09
lev_sell    2.850216e-09
dtype: float64",True,False,True,False,False,False,True,False,False,False,4487038.875615215,2985929.1752068554,18261685.640407223,1,0.01017301308049785,0.008944271910002265,0.027018512172213262,1
