证券代码,证券简称
600728.SS,佳都科技
600729.SS,重庆百货
600730.SS,中国高科
600733.SS,北汽蓝谷
600736.SS,苏州高新
600737.SS,中粮糖业
600739.SS,辽宁成大
600740.SS,山西焦化
600741.SS,华域汽车
600742.SS,一汽富维
600743.SS,华远地产
600744.SS,华银电力
600745.SS,闻泰科技
600748.SS,上实发展
600750.SS,江中药业
600751.SS,海航科技
600754.SS,锦江酒店
600755.SS,厦门国贸
600756.SS,浪潮软件
600757.SS,长江传媒
600759.SS,洲际油气
600760.SS,中航沈飞
600761.SS,安徽合力
600763.SS,通策医疗
600764.SS,中国海防
600765.SS,中航重机
600770.SS,综艺股份
600771.SS,广誉远
600773.SS,西藏城投
600775.SS,南京熊猫
600776.SS,东方通信
600777.SS,新潮能源
600779.SS,水井坊
600782.SS,新钢股份
600783.SS,鲁信创投
600787.SS,中储股份
600789.SS,鲁抗医药
600790.SS,轻纺城
600795.SS,国电电力
600797.SS,浙大网新
600798.SS,宁波海运
600800.SS,渤海化学
600801.SS,华新水泥
600802.SS,福建水泥
600803.SS,新奥股份
600804.SS,鹏博士
600805.SS,悦达投资
600808.SS,马钢股份
600809.SS,山西汾酒
600810.SS,神马股份
600811.SS,东方集团
600812.SS,华北制药
600820.SS,隧道股份
600822.SS,上海物贸
600823.SS,世茂股份
600825.SS,新华传媒
600826.SS,兰生股份
600827.SS,百联股份
600830.SS,香溢融通
600831.SS,广电网络
600835.SS,上海机电
600837.SS,海通证券
600838.SS,上海九百
600839.SS,四川长虹
600845.SS,宝信软件
600846.SS,同济科技
600848.SS,上海临港
600850.SS,电科数字
600851.SS,海欣股份
600855.SS,航天长峰
600859.SS,王府井
600862.SS,中航高科
600863.SS,内蒙华电
600864.SS,哈投股份
600867.SS,通化东宝
600868.SS,梅雁吉祥
600869.SS,远东股份
600871.SS,石化油服
600872.SS,中炬高新
600873.SS,梅花生物
600874.SS,创业环保
600875.SS,东方电气
600879.SS,航天电子
600880.SS,博瑞传播
600881.SS,亚泰集团
600884.SS,杉杉股份
600885.SS,宏发股份
600886.SS,国投电力
600887.SS,伊利股份
600888.SS,新疆众和
600893.SS,航发动力
600894.SS,广日股份
600895.SS,张江高科
600897.SS,厦门空港
600900.SS,长江电力
600901.SS,江苏租赁
600903.SS,贵州燃气
600905.SS,三峡能源
600909.SS,华安证券
600916.SS,中国黄金
600917.SS,重庆燃气
600918.SS,中泰证券
600919.SS,江苏银行
600926.SS,杭州银行
600928.SS,西安银行
600929.SS,雪天盐业
600936.SS,广西广电
600958.SS,东方证券
600959.SS,江苏有线
600963.SS,岳阳林纸
600965.SS,福成股份
600966.SS,博汇纸业
600967.SS,内蒙一机
600968.SS,海油发展
600970.SS,中材国际
600971.SS,恒源煤电
600975.SS,新五丰
600976.SS,健民集团
600977.SS,中国电影
600985.SS,淮北矿业
600986.SS,浙文互联
600987.SS,航民股份
600988.SS,赤峰黄金
600989.SS,宝丰能源
600990.SS,四创电子
600993.SS,马应龙
600996.SS,贵广网络
600997.SS,开滦股份
600998.SS,九州通
600999.SS,招商证券
601000.SS,唐山港
601001.SS,晋控煤业
601002.SS,晋亿实业
601003.SS,柳钢股份
601005.SS,重庆钢铁
601006.SS,大秦铁路
601008.SS,连云港
601009.SS,南京银行
601010.SS,文峰股份
601011.SS,宝泰隆
601012.SS,隆基股份
601015.SS,陕西黑猫
601016.SS,节能风电
601018.SS,宁波港
601021.SS,春秋航空
601038.SS,一拖股份
601058.SS,赛轮轮胎
601066.SS,中信建投
601069.SS,西部黄金
601077.SS,渝农商行
601088.SS,中国神华
601098.SS,中南传媒
601099.SS,太平洋
601100.SS,恒立液压
601101.SS,昊华能源
601106.SS,中国一重
601107.SS,四川成渝
601108.SS,财通证券
601111.SS,中国国航
601116.SS,三江购物
601117.SS,中国化学
601118.SS,海南橡胶
601126.SS,四方股份
601127.SS,小康股份
601128.SS,常熟银行
601137.SS,博威合金
601138.SS,工业富联
601139.SS,深圳燃气
601155.SS,新城控股
601158.SS,重庆水务
601162.SS,天风证券
601163.SS,三角轮胎
601166.SS,兴业银行
601168.SS,西部矿业
601169.SS,北京银行
601179.SS,中国西电
601186.SS,中国铁建
601198.SS,东兴证券
601199.SS,江南水务
601211.SS,国泰君安
601212.SS,白银有色
601216.SS,君正集团
601218.SS,吉鑫科技
601222.SS,林洋能源
601225.SS,陕西煤业
601228.SS,广州港
601229.SS,上海银行
601231.SS,环旭电子
