日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2021-03-10,215.88亿,9.76亿,13.96亿,-4.20亿,152.67,2.49,1.4,1.09,245.95亿
2021-03-11,215.76亿,11.76亿,11.87亿,-1184.93万,153.51,3.85,3.0,0.85,247.20亿
2021-03-16,224.86亿,10.38亿,8.23亿,2.15亿,154.3,6.83,3.5,3.32,255.88亿
2021-03-15,222.71亿,18.02亿,12.16亿,5.86亿,150.97,4.43,3.49,0.94,252.53亿
2021-03-12,216.83亿,10.38亿,9.31亿,1.07亿,150.03,1.83,5.31,-3.48,247.22亿
2021-03-18,221.39亿,6.21亿,9.75亿,-3.54亿,158.19,6.2,2.81,3.39,254.13亿
2021-03-17,224.93亿,6.88亿,6.80亿,753.02万,154.8,4.26,3.76,0.5,256.36亿
2021-03-22,221.90亿,9.82亿,10.95亿,-1.13亿,155.51,3.21,3.41,-0.2,252.85亿
2021-03-19,223.03亿,10.77亿,9.14亿,1.64亿,155.72,2.57,5.04,-2.47,254.33亿
2021-03-24,218.87亿,3.52亿,5.24亿,-1.73亿,157.82,5.13,2.44,2.7,250.26亿
2021-03-23,220.59亿,4.40亿,5.71亿,-1.31亿,155.12,3.1,3.49,-0.39,251.56亿
2021-03-30,220.49亿,6.64亿,6.56亿,800.74万,154.88,2.95,7.87,-4.92,252.33亿
2021-03-29,220.41亿,10.44亿,11.37亿,-9329.38万,159.8,6.6,3.35,3.25,252.91亿
2021-03-26,221.34亿,10.06亿,7.18亿,2.88亿,156.55,3.42,4.61,-1.19,252.85亿
2021-03-25,218.46亿,6.49亿,6.89亿,-4050.92万,157.74,2.63,2.71,-0.08,249.55亿
2021-04-09,224.85亿,7.36亿,9.19亿,-1.83亿,147.46,1.47,4.84,-3.37,254.63亿
2021-04-08,226.70亿,7.80亿,6.61亿,1.19亿,150.83,2.16,6.0,-3.84,257.93亿
2021-04-07,225.52亿,12.27亿,8.49亿,3.78亿,154.68,4.33,2.15,2.18,257.40亿
2021-04-06,221.74亿,11.54亿,6.34亿,5.20亿,152.5,1.39,3.88,-2.49,254.16亿
2021-04-02,216.54亿,9.16亿,13.93亿,-4.78亿,154.99,4.06,2.61,1.45,250.05亿
2021-04-01,221.32亿,7.16亿,10.00亿,-2.84亿,153.54,2.14,2.87,-0.73,252.71亿
2021-03-31,224.16亿,11.79亿,8.11亿,3.68亿,154.27,3.67,4.28,-0.61,255.15亿
2021-04-13,223.30亿,5.89亿,9.62亿,-3.73亿,145.53,2.81,2.04,0.77,252.71亿
2021-04-12,227.03亿,7.42亿,5.24亿,2.18亿,144.76,2.52,5.23,-2.71,256.11亿
2021-04-20,217.03亿,7.06亿,8.43亿,-1.37亿,145.67,2.14,4.52,-2.38,247.54亿
2021-04-19,218.40亿,6.75亿,9.29亿,-2.53亿,148.05,2.52,1.13,1.39,249.31亿
2021-04-16,220.93亿,7.58亿,8.82亿,-1.24亿,146.66,3.15,1.23,1.92,251.07亿
2021-04-15,222.17亿,7.35亿,8.68亿,-1.33亿,144.74,2.67,5.2,-2.53,251.35亿
2021-04-14,223.50亿,6.12亿,5.91亿,2080.49万,147.27,3.37,1.63,1.74,253.65亿
2021-05-31,225.44亿,11.26亿,7.10亿,4.16亿,127.75,1.11,1.69,-0.58,253.78亿
2021-05-28,221.29亿,7.34亿,7.64亿,-3032.90万,128.33,1.37,3.03,-1.66,249.90亿
2021-05-27,221.59亿,14.51亿,13.29亿,1.22亿,130.0,2.94,2.56,0.38,250.77亿
2021-05-26,220.36亿,11.19亿,7.75亿,3.44亿,129.62,2.73,3.28,-0.55,249.14亿
2021-05-25,216.93亿,10.72亿,18.30亿,-7.58亿,130.17,4.14,2.71,1.43,245.49亿
2021-05-24,224.50亿,6.25亿,8.89亿,-2.65亿,128.74,1.84,6.77,-4.93,251.17亿
2021-05-21,227.15亿,4.99亿,6.47亿,-1.49亿,133.67,1.48,1.5,-0.02,254.45亿
2021-05-20,228.63亿,4.49亿,5.08亿,-5925.39万,133.69,1.5,1.86,-0.36,256.16亿
2021-05-19,229.23亿,5.91亿,8.40亿,-2.50亿,134.05,2.0,1.14,0.86,256.69亿
2021-05-18,231.72亿,6.01亿,5.09亿,9162.88万,133.2,1.17,1.98,-0.81,259.15亿
2021-05-17,230.81亿,7.36亿,11.28亿,-3.92亿,134.01,3.67,4.04,-0.37,258.39亿
2021-05-14,234.73亿,5.89亿,8.59亿,-2.70亿,134.38,2.5,1.44,1.06,261.74亿
2021-05-13,237.42亿,4.69亿,4.93亿,-2369.24万,133.32,5.0,2.91,2.09,263.71亿
2021-05-12,237.66亿,4.29亿,6.54亿,-2.24亿,131.23,4.44,2.4,2.04,263.70亿
2021-05-11,239.91亿,5.68亿,10.64亿,-4.96亿,129.19,3.32,3.52,-0.2,265.21亿
2021-05-10,244.86亿,9.35亿,7.22亿,2.12亿,129.39,2.03,4.76,-2.73,269.18亿
2021-05-07,242.74亿,11.76亿,8.28亿,3.49亿,132.12,2.4,1.77,0.63,267.88亿
2021-05-06,239.25亿,12.36亿,7.66亿,4.70亿,131.49,2.48,4.25,-1.76,265.01亿
2021-04-30,234.55亿,7.29亿,6.71亿,5807.13万,133.25,1.87,7.32,-5.45,261.29亿
2021-04-29,233.97亿,10.27亿,10.54亿,-2704.64万,138.7,1.69,2.52,-0.83,262.07亿
2021-04-28,234.24亿,25.46亿,16.96亿,8.50亿,139.53,3.22,6.46,-3.24,262.73亿
2021-04-27,225.74亿,9.32亿,4.93亿,4.39亿,142.77,1.4,1.97,-0.57,255.64亿
2021-04-26,221.34亿,8.51亿,7.70亿,8062.73万,143.34,3.32,6.38,-3.06,251.12亿
2021-04-23,220.54亿,9.10亿,9.92亿,-8227.69万,146.39,4.42,2.9,1.52,251.41亿
2021-04-22,221.36亿,8.58亿,6.25亿,2.33亿,144.88,1.9,3.07,-1.17,251.14亿
2021-04-21,219.03亿,9.20亿,7.20亿,2.00亿,146.05,2.87,2.49,0.38,249.41亿
2021-06-10,219.48亿,5.18亿,7.39亿,-2.21亿,122.87,1.19,1.46,-0.27,246.98亿
2021-06-09,221.69亿,7.12亿,7.32亿,-1952.03万,123.13,2.23,2.94,-0.71,248.77亿
2021-06-08,221.88亿,14.92亿,15.66亿,-7379.34万,123.84,2.25,2.72,-0.47,249.02亿
2021-06-07,222.62亿,7.23亿,4.94亿,2.29亿,124.31,1.17,2.36,-1.19,250.85亿
2021-06-04,220.33亿,8.56亿,11.74亿,-3.18亿,125.50,1.22,1.87,-0.65,248.59亿
2021-06-03,223.51亿,5.85亿,6.41亿,-5597.60万,126.15,1.01,1.13,-0.12,251.54亿
2021-06-02,224.07亿,4.92亿,5.95亿,-1.03亿,126.27,0.64,0.94,-0.30,252.13亿
2021-06-01,225.10亿,5.91亿,6.26亿,-3472.14万,126.57,1.68,2.86,-1.18,253.46亿
