日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2020-10-15,-65.49亿,-5.67%,-27.67亿,-2.39%,-37.82亿,-3.27%,8.24亿,0.71%,57.25亿,4.95%
2020-10-14,-70.09亿,-5.25%,-36.95亿,-2.77%,-33.14亿,-2.48%,8.29亿,0.62%,61.80亿,4.63%
2020-10-13,-38.33亿,-2.94%,-20.05亿,-1.54%,-18.28亿,-1.40%,12.70亿,0.97%,25.64亿,1.97%
2020-10-12,44.47亿,2.76%,41.65亿,2.59%,2.81亿,0.17%,-21.02亿,-1.31%,-23.44亿,-1.46%
2020-10-09,26.44亿,2.30%,23.73亿,2.06%,2.71亿,0.24%,-12.59亿,-1.09%,-13.85亿,-1.20%
2020-09-30,-36.49亿,-4.07%,-18.39亿,-2.05%,-18.10亿,-2.02%,7.77亿,0.87%,28.72亿,3.21%
2020-09-29,-1.80亿,-0.20%,6.00亿,0.65%,-7.80亿,-0.85%,-6.07亿,-0.66%,7.87亿,0.86%
2020-09-28,-48.73亿,-5.57%,-18.25亿,-2.08%,-30.49亿,-3.48%,7496.27万,0.09%,47.98亿,5.48%
2020-09-25,-41.41亿,-4.45%,-16.13亿,-1.73%,-25.29亿,-2.72%,-2.00亿,-0.22%,43.42亿,4.67%
2020-09-24,-89.41亿,-7.94%,-39.84亿,-3.54%,-49.57亿,-4.40%,8.77亿,0.78%,80.64亿,7.16%
2020-09-23,-32.46亿,-3.06%,-16.00亿,-1.51%,-16.46亿,-1.55%,1.57亿,0.15%,30.89亿,2.91%
2020-09-22,-53.69亿,-4.37%,-8.42亿,-0.68%,-45.26亿,-3.68%,-5.35亿,-0.44%,59.04亿,4.80%
2020-09-21,-38.94亿,-2.91%,-14.31亿,-1.07%,-24.62亿,-1.84%,8.29亿,0.62%,30.65亿,2.29%
2020-09-18,7.93亿,0.58%,17.08亿,1.25%,-9.16亿,-0.67%,-16.74亿,-1.22%,8.81亿,0.64%
2020-09-17,-30.29亿,-2.45%,-2.62亿,-0.21%,-27.67亿,-2.24%,-10.57亿,-0.85%,40.86亿,3.30%
2020-09-16,-47.15亿,-4.19%,-15.66亿,-1.39%,-31.48亿,-2.80%,-5.52亿,-0.49%,52.66亿,4.68%
2020-09-15,-24.70亿,-2.11%,-10.57亿,-0.90%,-14.13亿,-1.21%,2.27亿,0.19%,22.43亿,1.92%
2020-09-14,-30.73亿,-2.38%,-7.42亿,-0.57%,-23.31亿,-1.80%,5.08亿,0.39%,25.65亿,1.98%
2020-09-11,-17.19亿,-1.49%,-8551.94万,-0.07%,-16.33亿,-1.41%,-8.13亿,-0.70%,25.32亿,2.19%
2020-09-10,-97.87亿,-6.55%,-45.46亿,-3.04%,-52.41亿,-3.51%,10.16亿,0.68%,87.70亿,5.87%
2020-09-09,-104.34亿,-5.91%,-43.62亿,-2.47%,-60.72亿,-3.44%,20.54亿,1.16%,83.80亿,4.74%
2020-09-08,-33.61亿,-2.27%,-2.20亿,-0.15%,-31.41亿,-2.12%,-12.08亿,-0.82%,45.69亿,3.08%
2020-09-07,-109.56亿,-6.55%,-49.35亿,-2.95%,-60.22亿,-3.60%,11.52亿,0.69%,98.05亿,5.86%
2020-09-04,-59.14亿,-4.48%,-18.58亿,-1.41%,-40.56亿,-3.07%,-8.99亿,-0.68%,68.13亿,5.16%
2020-09-03,-93.73亿,-6.18%,-43.36亿,-2.86%,-50.37亿,-3.32%,10.09亿,0.67%,83.64亿,5.52%
2020-09-02,-47.00亿,-2.92%,-15.54亿,-0.97%,-31.46亿,-1.96%,-1438.16万,-0.01%,47.14亿,2.93%
2020-09-01,-42.22亿,-3.01%,-13.54亿,-0.97%,-28.67亿,-2.05%,2175.97万,0.02%,42.00亿,3.00%
2021-02-02,-14.85亿,-0.92%,-6.16亿,-0.38%,-8.69亿,-0.54%,11.55亿,0.71%,3.29亿,0.20%
2021-02-01,-31.56亿,-2.00%,-12.42亿,-0.79%,-19.14亿,-1.21%,6.30亿,0.40%,25.26亿,1.60%
2021-02-03,-61.55亿,-3.50%,-25.70亿,-1.46%,-35.84亿,-2.04%,11.90亿,0.68%,49.65亿,2.83%
2021-02-04,-108.07亿,-6.22%,-47.20亿,-2.72%,-60.87亿,-3.50%,-8322.53万,-0.05%,108.90亿,6.27%
2021-02-08,-13.97亿,-0.99%,-6.64亿,-0.47%,-7.33亿,-0.52%,-1.26亿,-0.09%,15.22亿,1.08%
2021-02-05,-68.88亿,-4.24%,-35.35亿,-2.18%,-33.53亿,-2.06%,2.91亿,0.18%,65.97亿,4.06%
2021-02-10,-6.30亿,-0.42%,-3010.18万,-0.02%,-6.00亿,-0.40%,2.34亿,0.16%,3.96亿,0.26%
2021-02-09,44.11亿,3.00%,30.80亿,2.10%,13.31亿,0.91%,-9.44亿,-0.64%,-34.67亿,-2.36%
2021-02-18,-2.66亿,-0.14%,12.03亿,0.62%,-14.70亿,-0.75%,-14.76亿,-0.76%,17.42亿,0.89%
2021-02-19,-2.72亿,-0.13%,9.27亿,0.46%,-11.99亿,-0.59%,-11.62亿,-0.58%,14.34亿,0.71%
2021-02-23,-77.56亿,-3.76%,-42.66亿,-2.07%,-34.91亿,-1.69%,8.68亿,0.42%,68.88亿,3.34%
2021-02-22,-56.20亿,-2.16%,-6.84亿,-0.26%,-49.36亿,-1.90%,-8.83亿,-0.34%,65.03亿,2.50%
2021-02-24,-127.82亿,-6.50%,-66.74亿,-3.39%,-61.09亿,-3.10%,15.40亿,0.78%,112.42亿,5.71%
2021-02-25,-51.09亿,-2.98%,-35.82亿,-2.09%,-15.27亿,-0.89%,6.79亿,0.40%,44.30亿,2.58%
2021-02-26,-103.75亿,-6.34%,-54.87亿,-3.35%,-48.88亿,-2.99%,21.29亿,1.30%,82.45亿,5.04%
2021-03-01,29.11亿,1.76%,26.60亿,1.60%,2.51亿,0.15%,-8.69亿,-0.52%,-20.42亿,-1.23%
2021-03-02,-75.67亿,-4.35%,-40.30亿,-2.32%,-35.37亿,-2.03%,21.71亿,1.25%,53.96亿,3.10%
