179,2019-06-10,27.83万,9.18万,2.50万,6.68万,0.00,0.00,0.00,0.00,27.83万
180,2019-06-06,21.15万,2.06万,0.70万,1.36万,0.00,0.00,0.00,0.00,21.15万
181,2019-06-05,19.79万,0.81万,0.52万,0.29万,0.00,0.00,0.00,0.00,19.79万
182,2019-06-04,19.50万,0.22万,0.00万,0.22万,0.00,0.00,0.00,0.00,19.50万
183,2019-06-03,19.28万,0.30万,1.01万,-0.71万,0.00,0.00,0.00,0.00,19.28万
184,2019-05-31,19.99万,1.01万,0.55万,0.46万,0.00,0.00,0.00,0.00,19.99万
185,2019-05-30,19.53万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,19.53万
186,2019-05-29,19.53万,0.00万,1.02万,-1.02万,0.00,0.00,0.00,0.00,19.53万
187,2019-05-28,20.55万,2.04万,0.10万,1.94万,0.00,0.00,0.00,0.00,20.55万
188,2019-05-27,18.61万,0.40万,0.00万,0.40万,0.00,0.00,0.00,0.00,18.61万
189,2019-05-24,18.21万,2.99万,0.00万,2.99万,0.00,0.00,0.00,0.00,18.21万
190,2019-05-23,15.21万,0.10万,7.35万,-7.25万,0.00,0.00,0.00,0.00,15.21万
191,2019-05-22,22.47万,0.10万,0.10万,0.00万,0.00,0.00,0.00,0.00,22.47万
192,2019-05-21,22.47万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,22.47万
193,2019-05-20,22.47万,0.10万,0.20万,-0.10万,0.00,0.00,0.00,0.00,22.47万
194,2019-05-17,22.57万,1.12万,10.26万,-9.14万,0.00,0.00,0.00,0.00,22.57万
195,2019-05-16,31.71万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,31.71万
196,2019-05-15,31.71万,10.26万,3.94万,6.32万,0.00,0.00,0.00,0.00,31.71万
197,2019-05-14,25.39万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,25.39万
198,2019-05-13,25.39万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,25.39万
199,2019-05-10,25.39万,12.00万,1.00万,10.99万,0.00,0.00,0.00,0.00,25.39万
200,2019-05-09,14.39万,1.00万,0.00万,1.00万,0.00,0.00,0.00,0.00,14.39万
201,2019-05-08,13.39万,0.25万,0.00万,0.25万,0.00,0.00,0.00,0.00,13.39万
202,2019-05-07,13.14万,0.51万,0.00万,0.51万,0.00,0.00,0.00,0.00,13.14万
203,2019-05-06,12.62万,0.51万,0.00万,0.51万,0.00,0.00,0.00,0.00,12.62万
204,2019-04-30,12.11万,0.54万,0.12万,0.43万,0.00,0.00,0.00,0.00,12.11万
205,2019-04-29,11.68万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,11.68万
206,2019-04-26,11.68万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,11.68万
207,2019-04-25,11.68万,1.12万,34.20万,-33.08万,0.00,0.00,0.00,0.00,11.68万
208,2019-04-24,44.77万,43.89万,0.67万,43.21万,0.00,0.00,0.00,0.00,44.77万
209,2019-04-23,1.55万,0.00万,10.85万,-10.85万,0.00,0.00,0.00,0.00,1.55万
210,2019-04-22,12.40万,11.91万,0.03万,11.88万,0.00,0.00,0.00,0.00,12.40万
211,2019-04-19,0.52万,0.01万,0.00万,0.01万,0.00,0.00,0.00,0.00,0.52万
212,2019-04-18,0.51万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.51万
213,2019-04-17,0.51万,0.12万,5.66万,-5.55万,0.00,0.00,0.00,0.00,0.51万
214,2019-04-16,6.06万,6.06万,0.00万,6.06万,0.00,0.00,0.00,0.00,6.06万
