90,515070,AI智能,2687.90万,86.77万,830.56万,-743.79万,0.00,0.00,0.00,0.00,2687.90万,详细
91,510050,50ETF,94.07亿,9169.14万,1.02亿,-1005.35万,3820.25,679.22,1033.29,-354.07,95.35亿,详细
92,159928,消费ETF,1.38亿,2777.80万,4134.77万,-1356.97万,0.00,0.00,0.00,0.00,1.38亿,详细
93,159992,创新药,2.32亿,1186.06万,2575.19万,-1389.13万,0.00,0.00,0.00,0.00,2.32亿,详细
94,512660,军工ETF,3.68亿,2789.15万,4198.39万,-1409.24万,90.00,0.00,0.00,0.00,3.69亿,详细
95,513030,德国30,1.68亿,86.95万,1849.99万,-1763.04万,0.00,0.00,0.00,0.00,1.68亿,详细
96,513100,纳指ETF,9.50亿,2473.69万,4449.72万,-1976.03万,0.00,0.00,0.00,0.00,9.50亿,详细
97,515700,新能车,1.16亿,947.12万,3005.89万,-2058.77万,2555.84,0.00,0.00,0.00,1.51亿,详细
98,510900,H股ETF,326.75亿,1.34亿,1.56亿,-2169.42万,0.00,0.00,0.00,0.00,326.75亿,详细
99,513500,标普500,17.17亿,4620.80万,7179.44万,-2558.65万,0.00,0.00,0.00,0.00,17.17亿,详细
100,159934,黄金ETF,183.22亿,3.59亿,5.36亿,-1.77亿,0.00,0.00,0.00,0.00,183.22亿,详细
