,count,mean,std,min,25%,50%,75%,max,总市值,流通市值
000157,46.0,0.04815047621548284,0.050731284860274284,-0.03155339805825241,0.013262574885817613,0.0270921198668147,0.09698325484039777,0.17721518987341778,510.26595340800003,415.48722804690004
000158,54.0,0.07011680481742782,0.08085431990531289,-0.0547945205479452,0.02009966777408645,0.050145222819490076,0.10749275722931101,0.32530120481927693,90.96129233959999,89.734078419
000159,46.0,0.09155534647774612,0.10952371591602668,-0.09982486865148865,0.02455348569233723,0.06793938150674406,0.13235546405901522,0.46399999999999997,27.8317188113,27.8317188113
000166,56.0,0.03188159852552277,0.035318992901556386,-0.03903345724907059,0.012036626790725202,0.023161590325769366,0.04196604169398199,0.13228699551569512,1014.1178024399001,912.6880892811
000301,39.0,0.08668266492803162,0.1259627584170401,-0.09455128205128205,0.021150805708194054,0.05221518987341778,0.11578854766474733,0.5704989154013014,952.6307888858,774.5639459724
000333,46.0,0.07742709146514591,0.0582391954765823,-0.041270380434782594,0.03345198953179829,0.08309707561861923,0.11070199486243965,0.24289473684210527,3800.099819897,3717.2102458633003
000338,43.0,0.04476407929578731,0.05222579197810247,-0.0458351696782725,0.007147418912124781,0.031789282470481295,0.08384283458821606,0.1608579088471851,1021.0071314124001,590.8222047403
000400,43.0,0.06688148900037837,0.06392945440875486,-0.022727272727272818,0.027523438361704455,0.06731757451181908,0.08918787240782466,0.3413978494623655,187.2463782041,187.2332118886
000401,45.0,0.06257022858406845,0.05700564009045805,-0.07903494176372705,0.011280690112806857,0.058479532163742576,0.10804174340085959,0.18852459016393452,288.94777212400004,153.63329368590001
000402,52.0,0.045054877041441926,0.060088560281435464,-0.041198501872659166,0.011327753633030124,0.03338178294573646,0.052821424797231176,0.2396551724137932,182.92250688779998,182.8551335839
000403,52.0,0.08919525356758201,0.12268462244639695,-0.032602886157135136,0.026675466573233886,0.06494338793545396,0.11312111801242236,0.6188524590163933,142.4894317897,117.1865961442
000404,40.0,0.05431948658987351,0.06753930869932281,-0.041850220264317284,0.011540920716112513,0.04462242562929064,0.07194207960416216,0.33638443935926765,31.389420245900002,31.379083009699997
000413,51.0,0.05645414881245126,0.05613655403478897,-0.02659574468085102,0.01989032162442561,0.043269230769230616,0.0925426954474885,0.2584269662921348,99.6996730052,86.095747255
000415,46.0,0.05318135498637111,0.07146063100265472,-0.03861003861003842,0.007792845308952578,0.028469558640808135,0.05841114100332323,0.28888888888888875,131.7303103842,85.0371101138
