,count,mean,std,min,25%,50%,75%,max,总市值,流通市值
601288,22.0,0.01774144887451804,0.01738992735762088,-0.008086253369272156,0.0054848221731243485,0.01347247204721913,0.025928792569659354,0.0547945205479452,10534.4892862003,9008.4645723014
601298,24.0,0.05774325086325078,0.08738720992115472,-0.09658246656760783,0.013403582001519865,0.044338624338624344,0.07356788955074317,0.3660245183887916,363.50159380959997,301.9561948577
601311,29.0,0.05761190397115014,0.06145423820823542,-0.035823950870010224,0.011363636363636243,0.03873239436619724,0.09760132340777505,0.2073778664007977,108.75065050879999,108.75065050879999
601318,19.0,0.039908760428430286,0.04153021518037259,-0.013106796116504782,0.002200412879274971,0.047757575757575665,0.06166491100515803,0.13844967219436932,8023.1978432753,4754.4563820549
601319,25.0,0.04237884355964845,0.04317732489162063,-0.01577287066246058,0.017973856209150485,0.036130536130536184,0.043424317617865915,0.18872017353579174,2056.4156042848,1511.6284306577
601326,29.0,0.05640394537762101,0.045459433049570126,0.003717472118959231,0.029891304347825942,0.04460966542750944,0.07119741100323629,0.1968641114982579,155.88879266860002,132.7358942851
601328,21.0,0.02154508356206066,0.028909217351896402,-0.006993006993006978,0.0060240963855420215,0.019434628975264934,0.025276461295418606,0.13556618819776722,3668.5787387565,1938.9927048005
601333,22.0,0.03241159132805593,0.030022335961146153,-0.014285714285714235,0.015883923662923016,0.029978724184732797,0.040020790020790065,0.11781609195402298,148.75427024459998,118.69697160959998
601336,26.0,0.07735053661294658,0.08548635310023726,-0.0555217831813577,0.03950841345250372,0.06381141818608793,0.10738528567538486,0.3871331828442439,880.3360290997999,588.5109674283999
601339,33.0,0.04752483696063562,0.05985384701812619,-0.03162055335968361,0.016274864376130127,0.036717062634989084,0.05303030303030298,0.25392670157068076,88.8000011444,88.8000011444
601360,30.0,0.1715054932559163,0.392922129091124,-0.054952076677316386,0.022050847988965228,0.06751330480344553,0.11519302929601832,1.5937098844672657,598.7814440858,598.7814440858
601369,32.0,0.06681760015313001,0.07127500351749506,-0.04365079365079361,0.017779975654290903,0.06187653762711498,0.10054324016472438,0.2663316582914572,145.7272127224,139.3685507985
601375,32.0,0.06879072121865373,0.07309117403386504,0.00845665961945019,0.028906250000000022,0.042128316947637634,0.09139432082647442,0.36946902654867286,182.92965983669998,135.8322781527
601377,36.0,0.06813637057282623,0.07501180469619387,-0.029366306027820643,0.020318866672984104,0.054221481069730126,0.10368397723195127,0.34272300469483574,422.5599787975,422.5599787975
601388,27.0,0.08577633967233776,0.07745564560866906,-0.047706422018348627,0.04542083109273298,0.0670103092783505,0.1401892430278885,0.2442396313364057,85.6389119249,78.4442659383
601390,21.0,0.0427861242902834,0.0581060942641462,-0.051056338028169,0.008498583569405138,0.029726516052318575,0.056321839080459846,0.20238095238095255,1660.1649715675,1366.3934936574
601398,23.0,0.019196587050044654,0.01715550509604581,-0.009463722397476282,0.008031189083820722,0.018675721561969505,0.02909437156157424,0.06462035541195466,16465.9686696372,12456.0839107551
601456,12.0,0.08758203098973398,0.07306719871899127,-0.01758409785932724,0.03348181232898756,0.07363404664191253,0.1376754451222536,0.22774869109947637,293.0885336904,102.3588452716
601515,21.0,0.050840062860819275,0.05034872558489868,-0.03204272363150873,0.013445378151260456,0.041134751773049594,0.07949308755760365,0.14520958083832336,84.0364382175,84.0364382175
601519,31.0,0.08281026931067394,0.08356371770091661,-0.03305785123966942,0.02394278606965161,0.07296650717703357,0.10747394169795732,0.3411764705882354,111.1645196967,108.5284207582
601555,34.0,0.05315596861913378,0.05207179582428858,-0.029787234042553346,0.013880094146883404,0.04751830836589255,0.08110400646802052,0.17322834645669283,324.9869105886,324.9869105886
601566,31.0,0.03832611122001859,0.05952788994005277,-0.03130755064456725,0.007265294975566383,0.022944550669215857,0.05500894454382821,0.21921397379912677,49.7635763132,49.7635763132
601567,29.0,0.09242718551391782,0.0910448133876228,-0.028023598820059004,0.035019455252918386,0.05565217391304356,0.16163522012578602,0.3583180987202925,135.2308424616,133.1106343773
601577,21.0,0.03778617291528688,0.046574050056663346,-0.02395964691046648,0.0011013215859030367,0.02975420439844756,0.051094890510948954,0.15596330275229353,303.6273160975,156.0845853426
601588,23.0,0.06106509297400491,0.0681115712168766,-0.017817371937639215,0.01462527739899988,0.041044776119402826,0.0979862215156333,0.2655601659751037,78.1148617523,61.711998224300004
