,count,mean,std,min,25%,50%,75%,max
000501,21.0,0.08323725785939991,0.06418814241473494,0.004962779156327368,0.048353909465020495,0.07647058823529429,0.09541984732824438,0.31423455684870194
000503,18.0,0.11506831458263307,0.10236998606144979,0.013605442176870763,0.046197472818101715,0.08468374041275362,0.15202317643769803,0.4375545851528386
000505,16.0,0.12090925852315469,0.15550879526731948,0.0128571428571429,0.0417914368268979,0.06861883954580583,0.11588785524955747,0.6423529411764708
000506,7.0,0.1799203568322917,0.22221957539423212,0.027397260273972712,0.06941116551492632,0.11845730027548207,0.1517346549752192,0.6712962962962961
000513,17.0,0.08743031375925393,0.05448419907270636,0.014269073966219903,0.04865424430641818,0.08435042039598595,0.12745098039215685,0.21953188054882955
000516,16.0,0.10096699776572632,0.07854277538504394,-0.011661807580174988,0.05189371915857899,0.07854194995109609,0.149264054532884,0.289760348583878
000517,8.0,0.12305974651607654,0.08774623536143325,0.03383458646616533,0.05538343372974103,0.09595588235294117,0.18337459752170948,0.2668711656441718
000519,9.0,0.11086739827975964,0.07413226955161982,0.01719576719576721,0.05426356589147274,0.08237747653806049,0.17970765262252786,0.2173076923076922
000528,13.0,0.07980043104325986,0.0494092870993319,0.032786885245901676,0.043130990415335635,0.06075949367088618,0.09399075500770415,0.17884914463452573
000531,20.0,0.06504652651987627,0.06291396103996973,0.014064697609001309,0.02584164007412998,0.04223100829036763,0.08595439554498263,0.27206946454413883
000537,17.0,0.10810708993616232,0.10701805790768067,0.008333333333333304,0.03690036900368998,0.0711175616835995,0.13568376068376087,0.35581395348837197
000538,17.0,0.08697430995605988,0.05980944843006587,0.011377443941234855,0.042043984476067164,0.0524429578306056,0.12675623013024295,0.20498003782307195
000539,21.0,0.06733095927672281,0.05291177543609156,-0.023017902813299296,0.027989821882951516,0.04856512141280356,0.10256410256410264,0.1662707838479811
000540,13.0,0.15481976145526974,0.17191807926894842,0.043010752688172005,0.07072691552062871,0.09090909090909083,0.14018691588785037,0.6640926640926641
000541,20.0,0.07310484617568185,0.09280821336885299,0.005597014925373012,0.022020926477893665,0.04765372168284798,0.08577543769530427,0.42447418738049714
000543,20.0,0.06661561821116671,0.03891343194427675,0.01084010840108407,0.04036171696834484,0.05573219883564706,0.09476061662244878,0.17560975609756113
000547,10.0,0.08798507922579468,0.033602573404754484,0.04771178188899716,0.06232097422028776,0.07976782262565185,0.1129117997178089,0.13913043478260856
000550,18.0,0.09209664909093863,0.06676969367324796,0.003680529996319404,0.044183832243806676,0.07443020489601726,0.12249549811980298,0.2657232704402517
000551,20.0,0.10365753770969358,0.0993436174100107,0.008474576271186418,0.03930796289353833,0.07482281900524379,0.11266350854004531,0.3824884792626728
000552,15.0,0.0920389763114802,0.05555076766992826,0.026086956521739202,0.047418706910591135,0.07569721115537864,0.13383855060978278,0.1875
000554,14.0,0.08593629403203265,0.057768304903703896,0.006825938566553003,0.03309850954820698,0.08473684210526322,0.11877697841726614,0.19387755102040805
000555,10.0,0.11344810697375493,0.10767418540716932,0.017937219730941534,0.034972040309799335,0.08884597894622526,0.1475038699690404,0.36970567121320874
