,count,mean,std,min,25%,50%,75%,max
000401,11.0,0.06868878484839343,0.04510775517466387,0.03069236259814412,0.03399127880077735,0.04956268221574356,0.0958579978591837,0.16812749003984062
000402,12.0,0.06007956836451809,0.05382149374687249,0.008413461538461675,0.016945792730371667,0.04040569976402253,0.09951498905757511,0.16155088852988686
000403,10.0,0.099841767717271,0.04594544382241754,0.050495662949194386,0.06394621765762237,0.09209287655279508,0.12815876169933593,0.1926365795724465
000404,9.0,0.041573947705351756,0.022576809164364244,0.014742014742014753,0.0226586102719033,0.037117903930131035,0.04975124378109452,0.08374384236453225
000413,15.0,0.09697025554841623,0.06306418952893188,0.02020202020202011,0.05323984181202901,0.07378335949764514,0.12126116071428572,0.24521739130434783
000415,8.0,0.05879641153533288,0.03190422302745321,0.021696252465483123,0.033115523398208946,0.05299865229110523,0.084065892478699,0.102661596958175
000417,11.0,0.022296676718094058,0.017332374261510984,0.007575757575757569,0.011333158977041347,0.018000000000000016,0.027089741360387887,0.06683168316831667
000423,8.0,0.06700186868445948,0.0671537043914133,0.020542317173377178,0.02697459039748673,0.031606880030742635,0.08214098609144882,0.21107668474051122
000425,8.0,0.05295145117383268,0.04638561823177386,0.009280742459396807,0.015183388846685741,0.04053236673171501,0.07229034632578696,0.1362763915547025
000426,6.0,0.09264656809561822,0.03564669298296064,0.05018587360594795,0.0680582524271845,0.08768041237113411,0.11466051868556704,0.14516129032258052
000488,6.0,0.17858952297167854,0.27705787137310633,0.002083333333333215,0.05651391926030208,0.08107287449392708,0.11083319950752096,0.7382271468144046
000501,11.0,0.06100696868737607,0.025615911235051324,0.028000000000000025,0.03813274421285184,0.07706945765937201,0.08172725962733696,0.09216192937123169
000503,10.0,0.08496228515128508,0.07221417872154448,0.021538461538461506,0.035501257545271725,0.05886084768407329,0.09345892203035061,0.22876254180602018
000505,9.0,0.09853652709092524,0.12131353591168023,0.011889035667107084,0.03038309114927329,0.038690476190476275,0.08430609597924765,0.37401574803149606
000506,7.0,0.09096943976518863,0.05719113040339917,0.03412969283276435,0.048004980208370185,0.06181818181818177,0.13306704260651625,0.1786941580756014
000513,10.0,0.07089566609999878,0.04888750459657298,0.030331457160725606,0.037918436772961694,0.05065270971600566,0.08950675165158767,0.17680608365019013
000516,12.0,0.054473236937230385,0.02282221150455729,0.011173184357541777,0.04040467873885473,0.051845983412902696,0.06651295290661452,0.0976290097629009
000517,6.0,0.05875532989650378,0.020027499867214412,0.03623188405797095,0.04415904512867996,0.054696795382361385,0.07340860105848773,0.0866141732283463
000519,8.0,0.0937062371625079,0.04619385512904116,0.03304347826086973,0.0786564884171056,0.09776188278726339,0.10236078286207834,0.18350754936120794
000528,10.0,0.07216280670281319,0.046440822516075245,0.032697547683923744,0.04669881297821715,0.057551601022513554,0.07679853752699745,0.19518072289156607
000531,9.0,0.08171301517681367,0.06153011712481421,0.028436018957346043,0.030674846625766916,0.04664723032069973,0.14057507987220452,0.18209876543209869
000537,11.0,0.10858946962319843,0.10420606699635107,0.021367521367521514,0.048130143909130285,0.06138933764135701,0.15045790942489756,0.3655913978494625
000538,10.0,0.041470847946241604,0.02771771611297339,0.01796829125073396,0.023391692318967983,0.02656528673265024,0.05796285690265757,0.09907335907335924
000539,11.0,0.023891878784004037,0.02416301736631075,0.0,0.00843780563705876,0.022784810126582178,0.026222574676183052,0.09065934065934078
000540,11.0,0.09916061250874737,0.07768262245675188,0.03735632183908044,0.046208914342629526,0.07738095238095255,0.10765779919005725,0.26792452830188673
000541,15.0,0.0647506098232578,0.0792498643476307,0.01736111111111116,0.02398788893564041,0.03339882121807469,0.05039062500000002,0.3093145869947276
000543,11.0,0.0335619000324829,0.027103589328987793,0.004149377593360981,0.0149248994739416,0.02622377622377625,0.043262313226342,0.0841346153846152
000547,5.0,0.05399843856117603,0.02325604894310783,0.031890660592255315,0.045675413022351785,0.04646721833227252,0.05263157894736836,0.09332732191163218
000550,17.0,0.09520505751881342,0.11561146410205436,0.006093845216331495,0.013821700069108545,0.06117455138662309,0.11111111111111116,0.3753462603878117
000551,7.0,0.06594599580078715,0.053033837964296685,0.019374068554396384,0.034884281581485155,0.050000000000000044,0.07371451853863908,0.17505030181086512
000552,10.0,0.06706095047064561,0.03643432744174615,0.021897810218977964,0.04350645140374754,0.06123954121207498,0.09234384662956091,0.13461538461538458
000554,11.0,0.08170974206039952,0.06472903565976304,0.021978021978022122,0.04337550361813125,0.07386363636363624,0.09195531423578607,0.25724637681159446
000555,5.0,0.06969702274151186,0.04170868190029821,0.027442371020856227,0.046039268788083954,0.048945783132530174,0.09841029523088562,0.12764739553520332
000559,10.0,0.07404037444041858,0.03918117629576211,0.017892644135188762,0.04247876061969025,0.0779300237617564,0.10482112995699949,0.12276785714285698
000560,5.0,0.09607170522233215,0.052108547555184945,0.03389830508474567,0.05188679245283012,0.10782241014799143,0.12871287128712883,0.1580381471389647
000563,8.0,0.06219031433288341,0.04250078463012819,0.007936507936507908,0.041001294777729846,0.05571881898454745,0.07513360676112357,0.13636363636363624
000565,10.0,0.0651659605230003,0.055056320347372664,0.015118790496760237,0.025110673726308874,0.04110975697182595,0.08956339712918654,0.18441971383147848
000566,3.0,0.09512870844168557,0.0432341527907357,0.04615384615384621,0.07869306266252829,0.11123227917121037,0.11961613958560524,0.1280000000000001
000568,15.0,0.06538930282859098,0.04885138964670697,0.015437126677527058,0.029413046386148722,0.04934649239797273,0.07932637211715265,0.18556962025316448
000581,14.0,0.062334777933731496,0.04037735331683994,0.0038726333907057597,0.03544721245900673,0.06094860936846502,0.07775130495114724,0.15108245048364788
000589,4.0,0.08457315346893585,0.09641135493610561,0.022413793103448265,0.029917662739702366,0.04410962315210509,0.09876511388133857,0.22765957446808494
000591,6.0,0.07974909716000696,0.06522795668027993,0.00909090909090926,0.03712361760737504,0.057585764367096615,0.13058281004709588,0.16901408450704247
000592,15.0,0.12514566359991594,0.0788277123293812,0.03289473684210531,0.0687037037037036,0.11956521739130443,0.1441236183171667,0.30458221024258747
000596,11.0,0.08349995171800143,0.0807305179044263,0.012692050768203123,0.026331977229487324,0.0673828125,0.0988669660801319,0.29042625169147507
000598,11.0,0.020889287407393656,0.012373296424380197,0.004255319148936065,0.012924606462303201,0.01740812379110257,0.028325547086304304,0.04184100418410042
000600,7.0,0.07503677123357508,0.05921715164106772,0.01098901098901095,0.039299109367564866,0.05418719211822687,0.10477310894968861,0.17193675889328075
000603,12.0,0.08493659977952352,0.08770280960803316,0.021739130434782483,0.046707284224568046,0.059653690487075806,0.08291947191788757,0.3516746411483256
000607,16.0,0.1069476947604177,0.07414780320900474,0.0,0.05429487559534413,0.08496860282574559,0.15714285714285708,0.26666666666666683
000612,9.0,0.07180022645318757,0.05181127915283567,0.015189873417721378,0.03876852907639683,0.0610169491525423,0.09171974522292992,0.17228464419475653
000617,2.0,0.023377811985800356,0.014316120004040844,0.013254786450662692,0.018316299218231524,0.023377811985800356,0.02843932475336919,0.03350083752093802
000620,4.0,0.11502766558114652,0.01924994761902679,0.09275362318840585,0.10426948687818238,0.11466011466011461,0.12541829336307875,0.138036809815951
000623,11.0,0.044917438530287616,0.047895420720858554,0.0050473186119874835,0.015943755196009546,0.02464788732394374,0.04626096625266041,0.1424332344213648
000625,9.0,0.0848043014009871,0.05625576466548977,0.019361084220716362,0.03200000000000003,0.10041265474552974,0.1193666260657733,0.1644100580270793
000627,7.0,0.049182936063511686,0.024183290469279792,0.020000000000000018,0.034775108776808006,0.052959501557632294,0.05401041666666673,0.09375
000629,3.0,0.07553510338772673,0.05594456813379088,0.029850746268656803,0.04433713784021076,0.05882352941176472,0.0983772819472617,0.13793103448275867
000630,8.0,0.1015086188767712,0.07872263907597284,0.03508771929824572,0.051559060895084385,0.07105089226701922,0.12101045050134163,0.2748538011695907
000631,15.0,0.0658312096932753,0.063464080699123,0.0,0.02831949861652827,0.04885057471264376,0.08565370140870698,0.23606557377049198
000636,8.0,0.04436853454478015,0.02139663009074437,0.004369992716678706,0.03880304190767975,0.04324041713375981,0.05464350383270694,0.0774784782004998
000639,8.0,0.0605716049842035,0.050278649049146515,0.009049773755656076,0.03937643382849082,0.05622416727449542,0.0590843686141968,0.17522658610271913
000650,9.0,0.0932948416332689,0.062294876739526474,0.008488964346349936,0.03487064116985361,0.11951219512195133,0.12219730941704032,0.18289085545722705
000651,10.0,0.08376793201851274,0.04860681694519164,0.02271062271062263,0.059078242229367806,0.0681562895541944,0.1089541373089703,0.1675471698113209
000652,7.0,0.0487005288719502,0.03132458876107082,0.004950495049504955,0.025689223057643984,0.05882352941176472,0.06573275862068972,0.0942857142857143
