114,2019-09-10,2.01亿,369.48万,530.41万,-160.93万,10.60,0.00,0.00,0.00,2.02亿
115,2019-09-09,2.03亿,284.06万,267.74万,16.33万,10.60,0.00,8.00,-8.00,2.03亿
116,2019-09-06,2.03亿,479.90万,423.00万,56.91万,18.60,0.00,33.50,-33.50,2.04亿
117,2019-09-05,2.02亿,949.79万,1116.41万,-166.62万,52.10,45.00,1.00,44.00,2.05亿
118,2019-09-04,2.04亿,284.03万,168.23万,115.80万,8.10,0.00,2.01,-2.01,2.04亿
119,2019-09-03,2.03亿,314.69万,297.33万,17.37万,10.11,2.00,2.00,0.00,2.03亿
120,2019-09-02,2.02亿,157.39万,211.36万,-53.97万,10.11,0.00,20.00,-20.00,2.03亿
121,2019-08-30,2.03亿,325.71万,409.30万,-83.59万,30.11,19.00,0.00,19.00,2.04亿
122,2019-08-29,2.04亿,240.10万,168.79万,71.31万,11.11,0.00,14.00,-14.00,2.04亿
123,2019-08-28,2.03亿,151.42万,198.15万,-46.72万,25.11,2.00,14.07,-12.07,2.04亿
124,2019-08-27,2.03亿,390.79万,354.99万,35.80万,37.18,25.67,1.00,24.67,2.05亿
125,2019-08-26,2.03亿,201.74万,212.24万,-10.50万,12.51,1.00,0.00,1.00,2.04亿
126,2019-08-23,2.03亿,175.09万,158.22万,16.87万,11.51,0.00,0.00,0.00,2.04亿
127,2019-08-22,2.03亿,76.98万,109.14万,-32.16万,11.51,0.00,26.50,-26.50,2.04亿
128,2019-08-21,2.03亿,296.12万,518.26万,-222.13万,38.01,30.00,1.50,28.50,2.05亿
129,2019-08-20,2.06亿,172.68万,165.98万,6.70万,9.51,1.00,0.00,1.00,2.06亿
130,2019-08-19,2.06亿,232.52万,141.89万,90.62万,8.51,0.00,0.00,0.00,2.06亿
131,2019-08-16,2.05亿,144.86万,160.30万,-15.44万,8.51,0.00,10.75,-10.75,2.05亿
132,2019-08-15,2.05亿,132.20万,161.39万,-29.19万,19.26,14.75,0.00,14.75,2.06亿
133,2019-08-14,2.05亿,121.74万,123.19万,-1.45万,4.51,0.00,0.00,0.00,2.05亿
